ID,Gender,Age,Education_Level,Job_Role,Experience_Years,Region,Salary_LPA
1058,Male,40,Graduate,Technician,17,Metro,5.72
1059,Female,35,Graduate,Software Engineer,15,Tier-2,9.14
1060,Male,29,PhD,Research Scholar,9,Metro,7.29
1061,Female,37,Postgraduate,HR Executive,9,Tier-2,4.94
1062,Female,21,Graduate,Software Engineer,1,Tier-2,3.28
1063,Male,40,Postgraduate,Manager,11,Metro,18
1064,Male,21,Graduate,HR Executive,0,Metro,3.53
1065,Male,29,Postgraduate,HR Executive,3,Tier-2,3.44
1066,Male,24,Graduate,Software Engineer,3,Metro,6.74
1067,Male,22,Graduate,Technician,1,Metro,2.9
1068,Other,40,Graduate,Software Engineer,20,Rural,9.24
1069,Female,28,Graduate,Data Analyst,1,Tier-2,2.82
1070,Female,34,Graduate,Teacher,1,Metro,2.36
1071,Female,31,Graduate,Technician,6,Tier-2,1.91
1072,Male,35,Graduate,Software Engineer,6,Tier-2,6.84
1073,Female,32,Postgraduate,Consultant,5,Tier-2,6.1
1074,Male,23,Graduate,Software Engineer,3,Metro,5.61
1075,Male,38,Postgraduate,Teacher,0,Metro,1.61
1076,Male,28,Graduate,Teacher,2,Tier-2,2.61
1077,Female,21,12th Pass,Technician,0,Metro,2.25
1078,Male,29,Postgraduate,Manager,9,Rural,11.4
1079,Male,42,PhD,Consultant,16,Metro,16.89
1080,Female,37,PhD,Consultant,17,Metro,15.49
1081,Female,29,PhD,Teacher,7,Rural,1.78
1082,Male,29,Postgraduate,Manager,6,Metro,14.71
1083,Male,29,Postgraduate,Teacher,8,Metro,2.85
1084,Female,46,Postgraduate,Consultant,9,Tier-2,8.79
1085,Male,34,Postgraduate,Manager,11,Metro,17.15
1086,Female,35,Graduate,Data Analyst,14,Tier-2,7.34
1087,Male,39,Postgraduate,Consultant,14,Metro,16.02
1088,Female,33,Graduate,HR Executive,11,Metro,6.59
1089,Female,30,Postgraduate,Data Analyst,3,Metro,3.51
1090,Female,30,Postgraduate,Data Analyst,3,Tier-2,3.84
1091,Male,31,Graduate,Software Engineer,6,Metro,8.55
1092,Male,31,Graduate,Software Engineer,0,Metro,3.61
1093,Female,37,Graduate,Sales Executive,11,Tier-2,3.65
1094,Male,32,PhD,Consultant,8,Rural,7
1095,Female,37,Graduate,Technician,1,Tier-2,2.2
1096,Female,31,Graduate,Software Engineer,0,Metro,3.62
1097,Male,32,PhD,Research Scholar,6,Tier-2,4.9
1098,Other,21,Graduate,Data Analyst,1,Tier-2,2.05
1099,Male,38,Graduate,HR Executive,11,Rural,4.64
1100,Female,34,Graduate,Sales Executive,2,Rural,1.5
1101,Female,38,Graduate,Data Analyst,0,Rural,2.6
1102,Male,21,12th Pass,Technician,1,Tier-2,1.5
1103,Female,46,Graduate,Software Engineer,20,Metro,12.95
1104,Female,31,Postgraduate,Consultant,9,Tier-2,9.17
1105,Female,39,Postgraduate,HR Executive,13,Tier-2,6.32
1106,Male,24,Graduate,HR Executive,3,Rural,3.64
1107,Female,36,Postgraduate,Consultant,4,Rural,4.54
1108,Male,24,Graduate,Software Engineer,0,Metro,4.29
1109,Male,27,Graduate,Teacher,0,Tier-2,2.04
1110,Male,45,Postgraduate,HR Executive,20,Metro,8.64
1111,Male,30,Graduate,Software Engineer,5,Tier-2,6.34
1112,Female,33,PhD,Teacher,4,Metro,2.73
1113,Female,38,Postgraduate,HR Executive,1,Rural,2.42
1114,Other,35,Postgraduate,Consultant,8,Rural,6.83
1115,Male,33,Graduate,Teacher,4,Tier-2,2.23
1116,Female,34,Graduate,Technician,10,Metro,3.91
1117,Male,48,Postgraduate,Data Analyst,26,Metro,14.13
1118,Male,31,Postgraduate,Manager,4,Tier-2,10.38
1119,Female,33,Graduate,Software Engineer,9,Metro,8.88
1120,Male,39,PhD,Research Scholar,8,Metro,8.08
1121,Male,39,Graduate,Technician,18,Rural,4.24
1122,Male,40,Graduate,Sales Executive,20,Metro,8.22
1123,Female,36,Postgraduate,Consultant,14,Metro,13.65
1124,Female,23,Postgraduate,HR Executive,0,Tier-2,2.51
1125,Male,43,PhD,Research Scholar,11,Rural,5.67
1126,Male,23,Graduate,Technician,0,Tier-2,1.5
1127,Male,34,Graduate,Sales Executive,1,Rural,1.92
1128,Male,26,Postgraduate,Consultant,2,Tier-2,6.15
1129,Female,31,Graduate,Data Analyst,3,Metro,4.57
1130,Female,34,Postgraduate,Teacher,10,Rural,2.17
1131,Female,34,Postgraduate,HR Executive,10,Metro,6.3
1132,Female,34,Graduate,Software Engineer,1,Metro,4.97
1133,Female,43,Postgraduate,Teacher,20,Metro,5.06
1134,Female,35,Postgraduate,HR Executive,9,Tier-2,4.59
1135,Female,30,Postgraduate,Manager,1,Rural,6.33
1136,Female,38,Postgraduate,Manager,14,Metro,18.59
1137,Male,40,Graduate,Data Analyst,13,Metro,8.04
1138,Male,23,Graduate,Teacher,0,Rural,1.5
1139,Female,36,Graduate,Teacher,9,Metro,3.03
1140,Female,36,Graduate,Data Analyst,7,Tier-2,5.61
1141,Female,29,Postgraduate,Consultant,8,Metro,10.67
1142,Female,41,PhD,Research Scholar,14,Metro,7.84
1143,Female,30,Postgraduate,Manager,7,Metro,12.32
1144,Male,32,Postgraduate,Consultant,4,Metro,8.54
1145,Male,30,Postgraduate,Consultant,4,Tier-2,7.72
1146,Female,32,Graduate,Sales Executive,5,Rural,2.77
1147,Female,24,Postgraduate,Teacher,0,Metro,1.86
1148,Male,21,Graduate,Software Engineer,0,Tier-2,5
1149,Female,43,Postgraduate,Manager,7,Tier-2,10.28
1150,Male,26,Graduate,Software Engineer,1,Metro,5.08
1151,Male,25,Postgraduate,Consultant,5,Tier-2,8.61
1152,Male,21,12th Pass,Sales Executive,1,Tier-2,2.53
1153,Female,27,Postgraduate,Data Analyst,5,Metro,5.63
1154,Female,22,Graduate,Sales Executive,0,Metro,2.97
1155,Male,43,Graduate,Data Analyst,12,Rural,5.7
1156,Female,39,PhD,Research Scholar,2,Tier-2,3.46
1157,Female,27,PhD,Research Scholar,1,Metro,4.87
1158,Female,47,PhD,Consultant,9,Metro,10.84
1159,Female,38,Postgraduate,Manager,4,Metro,11.68
1160,Female,29,Graduate,Technician,8,Metro,3.34
1161,Female,21,Graduate,Teacher,1,Metro,2.95
1162,Male,48,Postgraduate,Manager,7,Metro,15.84
1163,Male,22,12th Pass,Technician,2,Metro,3.34
1164,Male,21,Graduate,HR Executive,0,Tier-2,3.49
1165,Female,39,Postgraduate,Manager,17,Metro,19.92
1166,Male,49,Graduate,Software Engineer,13,Metro,11.86
1167,Male,41,Graduate,Sales Executive,14,Metro,7.37
1168,Male,35,Graduate,Teacher,9,Metro,4.6
1169,Male,36,Postgraduate,Manager,11,Metro,18.71
1170,Male,37,Postgraduate,Teacher,6,Metro,3.65
1171,Female,37,Graduate,Teacher,6,Metro,3.31
1172,Other,33,PhD,Teacher,10,Metro,3.98
1173,Female,32,Graduate,Data Analyst,12,Tier-2,6.66
1174,Female,31,Postgraduate,HR Executive,1,Metro,3.33
1175,Other,26,Postgraduate,Consultant,6,Metro,8.01
1176,Male,30,Postgraduate,Manager,5,Metro,12.75
1177,Male,21,12th Pass,Sales Executive,0,Rural,1.5
1178,Male,31,PhD,Research Scholar,10,Rural,4.57
1179,Female,25,Postgraduate,Teacher,3,Metro,2.48
1180,Male,24,Graduate,Sales Executive,0,Metro,3.3
1181,Female,33,Postgraduate,Teacher,7,Metro,4.39
1182,Female,41,Graduate,Sales Executive,7,Metro,3.96
1183,Female,38,Postgraduate,HR Executive,18,Metro,7.31
1184,Male,21,Graduate,Software Engineer,0,Metro,4.63
1185,Female,25,Postgraduate,Consultant,4,Metro,7.91
1186,Female,38,Postgraduate,Data Analyst,2,Metro,3.62
1187,Male,25,Postgraduate,HR Executive,5,Tier-2,3.7
1188,Female,30,Graduate,Software Engineer,4,Rural,3.72
1189,Female,35,Graduate,Sales Executive,14,Metro,5.44
1190,Other,25,Graduate,Sales Executive,0,Tier-2,1.5
1191,Male,32,Graduate,Software Engineer,1,Metro,4.75
1192,Male,22,Graduate,Sales Executive,1,Metro,3.57
1193,Male,27,Postgraduate,HR Executive,3,Rural,3.46
1194,Female,34,Postgraduate,Consultant,3,Metro,6.15
1195,Female,21,Graduate,Sales Executive,0,Tier-2,1.5
1196,Female,35,Postgraduate,Teacher,1,Metro,2.36
1197,Female,31,Graduate,Software Engineer,11,Metro,8.61
1198,Female,35,Graduate,Teacher,15,Tier-2,4.35
1199,Female,33,Graduate,Technician,13,Metro,3.83
1200,Male,41,Postgraduate,HR Executive,10,Metro,6.44
1201,Male,32,Graduate,Technician,12,Tier-2,3.24
1202,Female,28,Graduate,Technician,8,Metro,2.97
1203,Female,32,Postgraduate,Manager,6,Metro,13.19
1204,Male,35,PhD,Consultant,9,Tier-2,10.72
1205,Male,32,Postgraduate,HR Executive,7,Metro,6.81
1206,Male,32,Postgraduate,Manager,0,Tier-2,8.4
1207,Female,27,Postgraduate,Manager,4,Rural,7.51
1208,Female,27,Graduate,Technician,4,Metro,2.21
1209,Male,22,Graduate,Technician,0,Metro,2.8
1210,Male,44,Postgraduate,Consultant,3,Tier-2,7.53
1211,Female,23,Graduate,HR Executive,1,Metro,2.53
1212,Male,27,Graduate,Technician,5,Tier-2,2.6
1213,Male,26,Graduate,HR Executive,1,Metro,3.07
1214,Male,38,Postgraduate,Teacher,2,Metro,3.56
1215,Male,29,Postgraduate,Consultant,7,Metro,11.07
1216,Female,40,Graduate,Technician,15,Tier-2,4.31
1217,Female,27,Graduate,Teacher,2,Metro,1.55
1218,Male,33,PhD,Teacher,1,Tier-2,2.98
1219,Female,26,Postgraduate,HR Executive,5,Tier-2,3.01
1220,Male,47,Postgraduate,Manager,13,Metro,18.9
1221,Female,23,Postgraduate,Manager,2,Metro,9.05
1222,Female,34,Postgraduate,Manager,0,Metro,7.7
1223,Male,36,Postgraduate,HR Executive,11,Tier-2,5.17
1224,Female,34,Graduate,Technician,13,Tier-2,3.36
1225,Male,30,Graduate,Sales Executive,2,Metro,3.63
1226,Female,31,Postgraduate,Data Analyst,5,Metro,5.82
1227,Female,32,Postgraduate,HR Executive,2,Metro,3.85
1228,Female,30,PhD,Research Scholar,8,Metro,5.43
1229,Female,38,PhD,Research Scholar,6,Metro,4.78
1230,Female,47,PhD,Research Scholar,13,Metro,7.35
1231,Female,28,Graduate,HR Executive,4,Metro,4.81
1232,Female,22,Graduate,Technician,1,Metro,2.52
1233,Male,31,Postgraduate,Consultant,8,Metro,11.68
1234,Male,50,Graduate,Software Engineer,20,Metro,14.69
1235,Male,26,Postgraduate,Data Analyst,6,Metro,5.86
1236,Male,43,Graduate,Technician,8,Metro,3.89
1237,Male,43,Graduate,Teacher,3,Metro,3.25
1238,Female,28,Postgraduate,Consultant,8,Metro,9.06
1239,Male,35,Postgraduate,Manager,0,Metro,8.88
1240,Female,43,Graduate,HR Executive,11,Metro,7.1
1241,Male,29,Postgraduate,Manager,5,Metro,13.39
1242,Female,30,PhD,Research Scholar,1,Metro,4.9
1243,Female,27,Postgraduate,HR Executive,7,Metro,4.66
1244,Male,24,Graduate,HR Executive,4,Metro,5.04
1245,Female,27,Graduate,Teacher,6,Metro,2.9
1246,Male,23,Graduate,Teacher,3,Metro,2.53
1247,Female,32,PhD,Research Scholar,2,Tier-2,3.77
1248,Male,26,Graduate,Software Engineer,1,Metro,5.25
1249,Male,33,Postgraduate,Manager,7,Metro,14.47
1250,Other,21,Graduate,Teacher,0,Metro,1.5
1251,Female,34,PhD,Research Scholar,8,Metro,6.42
1252,Female,37,Postgraduate,HR Executive,7,Metro,4.82
1253,Female,21,Graduate,Software Engineer,0,Metro,3.59
1254,Male,34,Graduate,Sales Executive,3,Metro,3.84
1255,Male,40,Graduate,Sales Executive,1,Rural,2.14
1256,Male,23,Postgraduate,Data Analyst,1,Metro,4.94
1257,Male,43,PhD,Research Scholar,1,Rural,3.47
1258,Female,34,PhD,Teacher,1,Rural,1.5
1259,Female,27,PhD,Research Scholar,5,Tier-2,5.17
1260,Male,31,Postgraduate,Data Analyst,10,Rural,4.79
1261,Female,35,Postgraduate,Data Analyst,11,Metro,7.48
1262,Male,32,Postgraduate,Manager,5,Metro,12.63
1263,Male,35,Postgraduate,Data Analyst,6,Metro,6.38
1264,Female,25,Graduate,Teacher,3,Metro,3.37
1265,Male,33,Graduate,HR Executive,5,Metro,5.24
1266,Male,22,Graduate,HR Executive,1,Tier-2,3.2
1267,Female,31,Graduate,Software Engineer,3,Metro,6.71
1268,Other,25,Postgraduate,Manager,2,Metro,8.17
1269,Female,26,Graduate,Data Analyst,2,Tier-2,2.95
1270,Male,40,Graduate,HR Executive,12,Metro,8.31
1271,Male,39,Graduate,Software Engineer,19,Metro,15.57
1272,Female,36,Graduate,Teacher,1,Metro,2.38
1273,Female,24,Graduate,Teacher,2,Tier-2,2.3
1274,Female,29,Graduate,Teacher,8,Metro,3.18
1275,Female,40,Postgraduate,Manager,3,Tier-2,7.94
1276,Female,32,Graduate,Software Engineer,2,Metro,4.71
1277,Female,48,Graduate,Sales Executive,9,Rural,2.63
1278,Male,34,Graduate,Software Engineer,5,Metro,7.49
1279,Female,33,Postgraduate,Manager,9,Tier-2,11.83
1280,Female,29,Postgraduate,Manager,8,Rural,9.2
1281,Male,32,Postgraduate,Data Analyst,6,Metro,5.34
1282,Male,30,Graduate,Data Analyst,3,Metro,4.08
1283,Male,36,Graduate,Data Analyst,3,Metro,4.48
1284,Female,38,Postgraduate,Consultant,18,Metro,16.09
1285,Male,26,Postgraduate,Manager,3,Rural,7.66
1286,Female,22,12th Pass,Technician,2,Metro,2.58
1287,Male,21,Graduate,Software Engineer,1,Rural,3.26
1288,Female,35,Graduate,Teacher,13,Tier-2,3.15
1289,Male,24,Graduate,Software Engineer,4,Metro,7.87
1290,Female,21,Graduate,HR Executive,0,Metro,2.54
1291,Male,34,Postgraduate,Manager,3,Metro,12.98
1292,Male,49,Graduate,HR Executive,24,Metro,12.18
1293,Male,31,Graduate,Technician,11,Metro,4.76
1294,Male,37,PhD,Consultant,9,Metro,12.18
1295,Female,32,Postgraduate,Teacher,4,Rural,2.31
1296,Female,31,PhD,Research Scholar,6,Metro,6.46
1297,Male,38,Postgraduate,Manager,4,Metro,13.12
1298,Male,29,Postgraduate,Manager,0,Metro,8.64
1299,Female,33,Graduate,Software Engineer,1,Tier-2,3.05
1300,Female,34,Graduate,Data Analyst,10,Tier-2,5.11
1301,Male,27,Graduate,Teacher,6,Metro,2.89
1302,Male,38,Postgraduate,Manager,6,Rural,8.91
1303,Female,30,Graduate,Data Analyst,1,Rural,2.37
1304,Male,26,Postgraduate,Manager,1,Tier-2,8.67
1305,Female,35,Graduate,Teacher,8,Rural,2.69
1306,Female,25,Graduate,HR Executive,5,Tier-2,3.25
1307,Male,32,Graduate,Sales Executive,1,Tier-2,1.5
1308,Female,31,Postgraduate,Consultant,1,Metro,6.23
1309,Female,39,Graduate,Data Analyst,18,Metro,9.65
1310,Male,35,Graduate,Technician,0,Rural,1.87
1311,Male,31,Postgraduate,Manager,8,Metro,15.35
1312,Female,37,Postgraduate,Teacher,10,Metro,4.45
1313,Male,41,Postgraduate,Consultant,19,Metro,19.47
1314,Female,35,Graduate,Data Analyst,4,Metro,4.93
1315,Female,32,Postgraduate,Teacher,6,Metro,2.2
1316,Female,22,Graduate,HR Executive,0,Tier-2,3.27
1317,Male,24,Graduate,Teacher,2,Rural,1.68
1318,Female,29,Postgraduate,Manager,2,Metro,9.01
1319,Female,27,Postgraduate,Data Analyst,1,Tier-2,3.39
1320,Male,30,Graduate,Data Analyst,7,Metro,6.45
1321,Male,32,PhD,Research Scholar,4,Metro,4.77
1322,Male,35,Postgraduate,Manager,0,Tier-2,8.56
1323,Female,31,PhD,Consultant,11,Rural,7.85
1324,Male,35,Postgraduate,Data Analyst,1,Metro,4.62
1325,Male,32,Graduate,Data Analyst,0,Metro,4.21
1326,Female,21,12th Pass,Sales Executive,0,Metro,1.5
1327,Female,25,Postgraduate,Manager,5,Rural,8
1328,Male,30,PhD,Research Scholar,8,Metro,6.66
1329,Female,23,Postgraduate,Data Analyst,2,Metro,3.99
1330,Female,36,PhD,Teacher,4,Rural,1.5
1331,Female,42,Graduate,HR Executive,12,Tier-2,5.51
1332,Female,40,Postgraduate,HR Executive,18,Rural,5.76
1333,Male,30,PhD,Research Scholar,7,Rural,5.26
1334,Female,42,Postgraduate,Teacher,9,Metro,3.36
1335,Male,33,PhD,Teacher,3,Tier-2,1.82
1336,Male,29,Postgraduate,Manager,8,Metro,15.31
1337,Female,27,Graduate,Teacher,4,Rural,1.5
1338,Female,29,Postgraduate,Data Analyst,5,Metro,4.79
1339,Female,29,PhD,Research Scholar,4,Tier-2,5.05
1340,Male,33,Postgraduate,Teacher,9,Metro,3.52
1341,Male,33,Graduate,Software Engineer,11,Metro,10.78
1342,Male,32,Postgraduate,Data Analyst,10,Metro,7.89
1343,Male,35,Postgraduate,Manager,6,Tier-2,11.13
1344,Female,40,Graduate,Sales Executive,6,Metro,3.2
1345,Female,38,Postgraduate,HR Executive,16,Metro,8.38
1346,Female,21,12th Pass,Technician,1,Metro,1.83
1347,Male,21,Graduate,Data Analyst,0,Metro,3.92
1348,Male,38,Postgraduate,Teacher,5,Metro,2.56
1349,Female,22,Graduate,Technician,2,Metro,2.77
1350,Female,30,Postgraduate,Data Analyst,9,Metro,5.96
1351,Female,23,Graduate,Software Engineer,3,Metro,5.1
1352,Female,21,Graduate,Sales Executive,0,Tier-2,1.5
1353,Female,35,Graduate,Technician,6,Tier-2,1.72
1354,Male,37,Graduate,Technician,10,Rural,3.49
1355,Female,27,Postgraduate,Manager,7,Metro,12.91
1356,Male,21,Graduate,Teacher,0,Tier-2,2.56
1357,Male,28,Graduate,Software Engineer,7,Metro,9.65
1358,Male,34,PhD,Research Scholar,2,Metro,4.64
1359,Male,21,Graduate,Sales Executive,1,Metro,3.56
1360,Male,33,PhD,Research Scholar,11,Metro,8.32
1361,Female,31,Postgraduate,Manager,5,Metro,11.93
1362,Male,36,Postgraduate,Data Analyst,15,Tier-2,8.76
1363,Female,32,Postgraduate,Consultant,3,Metro,6.27
1364,Female,25,Graduate,Technician,4,Tier-2,1.85
1365,Other,40,Postgraduate,Data Analyst,14,Tier-2,5.79
1366,Female,30,Postgraduate,Data Analyst,1,Metro,4.37
1367,Female,31,Graduate,Data Analyst,3,Metro,3.41
1368,Male,25,Graduate,Data Analyst,1,Metro,5.16
1369,Female,28,Graduate,Teacher,1,Metro,1.5
1370,Female,25,Postgraduate,Manager,1,Metro,9.45
1371,Female,30,Postgraduate,HR Executive,0,Metro,3.51
1372,Female,43,Postgraduate,Consultant,19,Metro,17.66
1373,Female,22,Graduate,Software Engineer,1,Metro,4.33
1374,Male,21,Graduate,Teacher,0,Metro,2
1375,Female,42,PhD,Teacher,8,Rural,2.86
1376,Female,30,Graduate,Software Engineer,10,Rural,6.71
1377,Male,27,Graduate,Software Engineer,2,Metro,4.77
1378,Female,39,Postgraduate,HR Executive,5,Metro,4.81
1379,Female,27,Graduate,Software Engineer,3,Metro,5.13
1380,Male,44,PhD,Research Scholar,2,Metro,5.9
1381,Female,36,Postgraduate,Consultant,11,Metro,12.49
1382,Male,28,Graduate,Sales Executive,6,Metro,4.68
1383,Male,47,Postgraduate,Data Analyst,0,Metro,3.45
1384,Male,27,Postgraduate,Consultant,0,Tier-2,4.32
1385,Female,37,Graduate,HR Executive,5,Tier-2,3.92
1386,Male,34,Postgraduate,HR Executive,10,Rural,4.92
1387,Male,41,PhD,Teacher,2,Metro,3.8
1388,Female,42,Postgraduate,Consultant,3,Rural,4.66
1389,Male,32,Postgraduate,Manager,12,Metro,18.04
1390,Male,26,Graduate,HR Executive,2,Tier-2,2.75
1391,Female,35,Graduate,Software Engineer,9,Rural,6.13
1392,Male,27,Graduate,Technician,2,Rural,1.89
1393,Female,46,Postgraduate,Manager,5,Tier-2,10.11
1394,Male,32,Graduate,Technician,0,Metro,1.58
1395,Female,29,Graduate,HR Executive,7,Metro,4.03
1396,Male,33,PhD,Research Scholar,7,Tier-2,6.54
1397,Female,22,Graduate,Software Engineer,0,Tier-2,4.07
1398,Male,25,Postgraduate,Manager,5,Tier-2,10.94
1399,Male,40,Graduate,Sales Executive,16,Metro,6.69
1400,Female,27,Graduate,Software Engineer,2,Metro,6.1
1401,Female,24,Graduate,Teacher,0,Metro,1.5
1402,Female,35,Postgraduate,Consultant,14,Rural,9.58
1403,Male,40,Graduate,Data Analyst,12,Metro,7.38
1404,Male,37,Postgraduate,Consultant,2,Tier-2,6.89
1405,Male,38,PhD,Consultant,1,Rural,4.6
1406,Male,26,Graduate,Software Engineer,2,Metro,5.84
1407,Male,22,Graduate,Technician,0,Tier-2,2.41
1408,Other,42,Postgraduate,HR Executive,15,Tier-2,4.91
1409,Male,29,PhD,Research Scholar,7,Metro,5.99
1410,Male,30,PhD,Research Scholar,2,Metro,5.13
1411,Male,41,Graduate,Technician,17,Tier-2,4.66
1412,Female,35,Graduate,Software Engineer,4,Metro,5.4
1413,Male,35,Postgraduate,Manager,11,Metro,17.61
1414,Male,47,Postgraduate,Data Analyst,27,Tier-2,11.78
1415,Female,27,Graduate,Software Engineer,4,Metro,6.46
1416,Male,38,Postgraduate,Manager,11,Metro,18.9
1417,Male,32,Postgraduate,Teacher,0,Metro,1.6
1418,Male,33,Graduate,Data Analyst,3,Metro,4.09
1419,Male,42,PhD,Teacher,7,Metro,4.08
1420,Male,35,Graduate,Software Engineer,0,Tier-2,3.91
1421,Male,35,Postgraduate,HR Executive,4,Metro,5.36
1422,Male,39,Postgraduate,Consultant,19,Tier-2,15.43
1423,Male,29,Graduate,Software Engineer,5,Metro,7.65
1424,Male,26,Postgraduate,Data Analyst,6,Rural,3.86
1425,Male,24,Postgraduate,HR Executive,0,Metro,3.08
1426,Male,21,Graduate,Software Engineer,0,Metro,5.35
1427,Male,46,Graduate,Technician,26,Tier-2,6.31
1428,Male,24,Postgraduate,Consultant,1,Tier-2,5.23
1429,Other,30,Postgraduate,HR Executive,3,Metro,3.95
1430,Female,30,Postgraduate,Data Analyst,5,Metro,4.3
1431,Female,34,PhD,Research Scholar,9,Metro,7.01
1432,Female,37,Graduate,Software Engineer,6,Metro,6.66
1433,Female,38,Graduate,Sales Executive,6,Metro,2.87
1434,Female,27,Postgraduate,Teacher,7,Metro,4.31
1435,Female,30,Graduate,Data Analyst,9,Rural,4.18
1436,Female,33,PhD,Consultant,7,Tier-2,8.17
1437,Female,30,Postgraduate,Manager,7,Metro,13.75
1438,Male,43,Postgraduate,Data Analyst,7,Rural,4.62
1439,Male,35,Postgraduate,Data Analyst,15,Metro,9.93
1440,Male,37,Postgraduate,Data Analyst,11,Metro,7.82
1441,Female,36,Postgraduate,Teacher,14,Tier-2,4.61
1442,Male,40,Graduate,Software Engineer,7,Metro,7.76
1443,Female,33,Graduate,Data Analyst,5,Metro,5.79
1444,Male,22,12th Pass,Sales Executive,0,Metro,2.9
1445,Male,34,Postgraduate,Manager,2,Metro,11.28
1446,Male,27,Graduate,Technician,5,Metro,2.84
1447,Female,28,Graduate,Technician,4,Tier-2,1.64
1448,Female,36,Postgraduate,Data Analyst,15,Metro,8.48
1449,Male,40,Graduate,Software Engineer,14,Metro,13.16
1450,Female,32,PhD,Research Scholar,7,Metro,6.43
1451,Male,34,Graduate,Teacher,3,Tier-2,2.81
1452,Female,43,PhD,Research Scholar,19,Metro,9.85
1453,Male,33,Postgraduate,Data Analyst,12,Metro,9.67
1454,Female,50,Postgraduate,Consultant,30,Tier-2,19.31
1455,Female,35,Graduate,Data Analyst,15,Metro,7.95
1456,Male,21,Graduate,Data Analyst,1,Metro,3.92
1457,Male,37,Graduate,HR Executive,10,Tier-2,6.26
1458,Female,34,Postgraduate,Consultant,9,Metro,10.62
1459,Male,41,PhD,Consultant,4,Metro,8.35
1460,Male,36,PhD,Teacher,10,Metro,5.04
1461,Male,31,Postgraduate,Data Analyst,5,Metro,6.02
1462,Male,23,Postgraduate,Teacher,3,Rural,2.76
1463,Female,30,Postgraduate,Manager,10,Metro,15.19
1464,Male,26,Graduate,Technician,3,Metro,4.04
1465,Female,27,Graduate,Data Analyst,1,Tier-2,2.57
1466,Female,36,Graduate,Technician,1,Metro,3.03
1467,Female,43,Graduate,HR Executive,11,Metro,5.84
1468,Male,34,Postgraduate,Manager,2,Metro,11.85
1469,Male,23,Graduate,Sales Executive,1,Tier-2,3.08
1470,Female,35,Graduate,Technician,0,Tier-2,1.98
1471,Female,40,PhD,Research Scholar,13,Metro,7.84
1472,Male,27,Graduate,Technician,7,Tier-2,3.92
1473,Male,31,PhD,Research Scholar,11,Metro,7.52
1474,Male,32,PhD,Teacher,4,Metro,3.25
1475,Female,26,PhD,Research Scholar,1,Metro,5.31
1476,Female,36,Postgraduate,Data Analyst,16,Tier-2,7.77
1477,Female,31,Graduate,Software Engineer,8,Tier-2,7.4
1478,Female,34,Postgraduate,Manager,7,Tier-2,11.12
1479,Female,25,Graduate,Sales Executive,3,Tier-2,2.79
1480,Male,28,Graduate,Sales Executive,7,Metro,3.15
1481,Female,37,Postgraduate,Manager,15,Metro,18.07
1482,Female,29,Graduate,HR Executive,6,Metro,5.37
1483,Male,44,PhD,Research Scholar,10,Metro,7.31
1484,Male,29,PhD,Consultant,6,Metro,9.79
1485,Female,33,Graduate,Sales Executive,0,Rural,2.04
1486,Female,38,Postgraduate,Consultant,12,Tier-2,10.53
1487,Female,22,Graduate,Software Engineer,1,Metro,4.06
1488,Female,21,Graduate,Teacher,1,Tier-2,1.86
1489,Male,21,Graduate,Sales Executive,1,Tier-2,2.27
1490,Female,40,Graduate,Software Engineer,9,Metro,9.6
1491,Female,28,Graduate,Software Engineer,1,Metro,5.17
1492,Male,49,Postgraduate,Manager,25,Metro,28.5
1493,Male,28,PhD,Research Scholar,6,Metro,6.28
1494,Male,33,Graduate,Software Engineer,8,Metro,10.19
1495,Male,42,Graduate,Software Engineer,4,Rural,4.9
1496,Female,46,PhD,Consultant,7,Metro,9.2
1497,Male,46,PhD,Research Scholar,20,Tier-2,8.5
1498,Male,40,PhD,Research Scholar,13,Metro,7.83
1499,Male,39,Postgraduate,Manager,6,Metro,15.23
1500,Female,36,Postgraduate,Data Analyst,6,Rural,3.84
1501,Male,37,Postgraduate,Consultant,8,Metro,11.23
1502,Male,28,Graduate,Teacher,2,Rural,1.5
1503,Male,26,Postgraduate,Data Analyst,5,Metro,4.88
1504,Male,31,Graduate,Teacher,0,Rural,1.56
1505,Male,30,Graduate,Data Analyst,1,Metro,3.93
1506,Female,28,PhD,Consultant,5,Metro,8.12
1507,Male,36,Graduate,Data Analyst,13,Tier-2,8.16
1508,Male,38,PhD,Teacher,12,Tier-2,5.02
1509,Male,32,Graduate,Technician,8,Metro,3.42
1510,Female,42,Graduate,Sales Executive,18,Rural,4.02
1511,Male,24,Postgraduate,Teacher,1,Tier-2,2.71
1512,Other,30,Postgraduate,Consultant,1,Metro,5.38
1513,Female,26,Postgraduate,Consultant,2,Metro,5.89
1514,Male,21,Graduate,Software Engineer,0,Metro,4.03
1515,Female,31,Graduate,Sales Executive,1,Metro,1.89
1516,Male,31,PhD,Teacher,2,Metro,1.61
1517,Female,42,Graduate,HR Executive,6,Tier-2,4.77
1518,Female,36,PhD,Consultant,12,Tier-2,10.31
1519,Female,24,Graduate,Data Analyst,4,Metro,3.74
1520,Male,44,Postgraduate,Data Analyst,17,Metro,9.79
1521,Female,40,Postgraduate,HR Executive,15,Rural,4.58
1522,Female,36,Graduate,Sales Executive,14,Metro,5.6
1523,Male,30,PhD,Research Scholar,7,Metro,7.21
1524,Other,25,Graduate,Teacher,1,Tier-2,1.5
